employee_id,employee_name,department,designation,store_id,warehouse_id,hire_date,salary
69,Andrea Santos,Finance,Senior Associate,77,,2015-07-12,75111
70,Jade Mcdonald,Finance,Senior Associate,30,,2024-05-07,94684
71,Barbara Fisher,Marketing,Assistant Manager,95,,2024-10-14,58280
72,Stacey Haynes,Operations,Director,22,,2023-10-24,68887
73,Tanya Payne,Warehouse,Director,92,,2018-04-24,48392
74,Ryan Dean,HR,Director,31,,2016-10-17,103124
75,George Merritt,Marketing,Manager,,35,2020-07-20,76286
76,Shawn Boyd,Sales,Associate,,7,2022-05-29,41218
77,Nancy Fisher,Warehouse,Senior Associate,77,,2015-03-24,84080
78,Whitney Cannon,Operations,Senior Associate,,21,2024-06-04,58884
79,Rodney Morton,Operations,Senior Associate,,40,2019-10-29,107592
80,Veronica Walker,Finance,Senior Associate,9,,2024-01-07,52665
81,Kristen Torres,Operations,Associate,51,,2015-11-10,107555
82,Sheila Cannon,Finance,Associate,,45,2019-09-07,92203
83,Brooke Wang,Marketing,Assistant Manager,,6,2020-01-16,40453
84,Christine Bishop,Finance,Manager,,6,2015-07-13,97858
85,Joshua Nelson,Operations,Associate,,50,2022-10-13,94294
86,Barbara Jackson,Sales,Manager,,29,2025-03-30,69952
87,Joe Jones,Warehouse,Director,54,,2020-12-12,42784
88,Brian Smith,HR,Manager,,8,2019-05-10,71978
89,Amy Sanchez,Finance,Senior Associate,23,,2021-12-30,83992
90,Mario Marshall,Warehouse,Senior Associate,,35,2018-12-21,40146
91,Brianna Walton,Operations,Senior Associate,92,,2018-12-16,59379
92,Jill Short,Marketing,Senior Associate,91,,2023-05-10,92568
93,William Carpenter,Marketing,Director,,21,2021-07-02,78864
94,Jerry Pope,HR,Director,90,,2017-11-26,119293
95,Christine Sanders,Finance,Senior Associate,,9,2019-06-26,47939
96,Barbara Jefferson,Marketing,Director,68,,2024-03-08,99568
97,James Adams,Warehouse,Director,,22,2020-10-25,67140
98,Angela Beck,Sales,Associate,,29,2015-11-02,48526
99,Alec Decker,HR,Manager,26,,2024-06-05,115507
100,Nicholas Walton,Warehouse,Assistant Manager,,21,2023-02-24,85327
101,Tracy Lawson,Finance,Manager,34,,2017-12-08,77259
102,Stephen Oconnell,Finance,Manager,,41,2025-08-16,55136
103,Stuart Sanchez,Warehouse,Manager,,47,2025-06-21,109093
104,Vanessa Dodson,Warehouse,Assistant Manager,,18,2025-12-14,30776
105,Danielle Cochran,Warehouse,Senior Associate,97,,2019-02-27,38592
106,Brent Baker,HR,Manager,38,,2025-02-28,44543
107,Brian Short,HR,Senior Associate,,35,2023-11-15,88077
108,Kevin Barton,HR,Director,58,,2024-07-30,37438
109,Adam Aguilar,HR,Associate,89,,2021-01-07,101338
110,Richard Cardenas,Marketing,Associate,36,,2018-01-25,46025
111,Lindsey Lambert,Operations,Associate,85,,2017-06-30,90235
112,Nicole Jordan,Operations,Senior Associate,,16,2025-08-19,101195
113,Jason Robinson,Finance,Assistant Manager,74,,2020-07-11,108830
114,Shawn Green,Marketing,Director,30,,2025-03-17,54940
115,Shane Vance,HR,Manager,,43,2021-02-06,34872
116,Michele Rodriguez,Warehouse,Associate,35,,2020-11-17,97647
117,Leslie Graham,Warehouse,Senior Associate,,2,2015-10-22,69281
118,David Johnson,Warehouse,Associate,80,,2019-06-04,115295
119,John Garcia,Sales,Manager,,34,2021-02-12,45308
120,Kevin Perez,HR,Assistant Manager,,8,2016-03-15,80833
121,Lindsey Kennedy,Operations,Associate,,2,2016-10-13,38961
122,Michael Rodriguez,Operations,Assistant Manager,33,,2021-07-01,72657
123,Ronald Smith,HR,Senior Associate,93,,2017-09-24,28095
124,Kristen Yu,Marketing,Assistant Manager,,7,2022-09-15,97011
125,Whitney Rogers,Operations,Director,30,,2020-01-24,83649
126,Wesley Nolan,Marketing,Assistant Manager,28,,2019-06-12,36932
127,Monica Cochran,HR,Assistant Manager,88,,2016-04-16,73951
128,Jose Charles,Marketing,Assistant Manager,,44,2019-06-20,67395
129,Karen Silva,Warehouse,Associate,,36,2020-12-18,89975
130,Nicole Mcdonald,Marketing,Associate,,48,2021-04-22,73891
131,Brianna Johnson,HR,Senior Associate,,47,2017-12-21,70225
132,Jose Garcia,Finance,Assistant Manager,18,,2015-04-22,104456
133,Joseph Wagner,HR,Assistant Manager,100,,2025-04-14,75754
134,Jason Gates,Warehouse,Assistant Manager,43,,2025-07-15,102908
135,Brian Clark,HR,Senior Associate,,17,2024-12-11,109451
136,James Sanders,Marketing,Director,49,,2018-03-10,106040
137,Charles Nelson,Finance,Manager,,39,2021-08-18,115910
138,Andrew Scott,Sales,Senior Associate,,50,2016-07-20,92204
139,Kevin Mitchell,Finance,Assistant Manager,77,,2024-12-17,79681
140,Jill Jackson,Marketing,Associate,10,,2015-01-23,76811
141,Melissa Flynn,Finance,Manager,60,,2020-03-06,46814
142,Linda Rivas,Warehouse,Assistant Manager,,15,2024-06-04,104164
143,John Weiss,Warehouse,Assistant Manager,,15,2022-12-25,91781
144,Frank Short,Finance,Senior Associate,,23,2024-06-30,108341
145,Joshua Miller,HR,Associate,61,,2020-06-17,92536
146,Christopher Benson,Warehouse,Associate,62,,2016-01-18,72204
147,Jessica Charles,Warehouse,Associate,36,,2015-02-01,55161
148,Vanessa Larson,Warehouse,Director,39,,2016-09-03,118680
149,Randall Silva,Sales,Assistant Manager,69,,2015-08-20,95492
150,Rebecca Williams,Sales,Manager,4,,2019-12-05,108483
151,Matthew Caldwell,Sales,Manager,,37,2015-07-23,81820
152,Jessica Oliver,Warehouse,Senior Associate,61,,2017-01-16,74963
153,Nancy Baker,HR,Associate,63,,2019-08-13,31155
154,Chad Yu,Warehouse,Associate,,37,2023-02-04,34374
155,Jeremy Atkinson,Marketing,Assistant Manager,79,,2022-06-02,93022
156,Charles Byrd,Operations,Associate,,43,2015-08-22,48653
157,Michael Cardenas,Warehouse,Associate,,22,2024-12-08,35544
158,Brian Wright,Operations,Assistant Manager,,20,2021-01-17,99428
159,Angel Nolan,Operations,Manager,,20,2018-11-02,85088
160,William Ortiz,HR,Manager,43,,2019-03-19,38226
161,Joseph Miller,Operations,Senior Associate,,21,2024-05-01,73987
162,Christine Kennedy,Operations,Associate,30,,2020-02-12,71221
163,James Vance,Finance,Manager,60,,2017-09-14,28341
164,Lisa Walker,Finance,Senior Associate,5,,2019-09-03,83646
165,Tanya Rivas,Operations,Manager,49,,2015-10-02,64495
166,Charles King,Sales,Associate,,27,2016-09-07,108807
167,Ryan Daniels,Operations,Senior Associate,4,,2018-06-17,38646
168,Jeffrey Benson,HR,Associate,44,,2017-06-04,105934
169,Amanda Nelson,Marketing,Manager,75,,2018-11-04,28590
170,Randy Ryan,Sales,Senior Associate,,49,2015-09-18,98313
171,James Byrd,Sales,Senior Associate,9,,2021-09-17,99998
172,Cassandra Barnes,HR,Manager,,23,2016-04-08,65507
173,Leslie Vance,Marketing,Manager,,39,2017-05-21,53810
174,Lisa Salinas,HR,Senior Associate,58,,2025-10-04,41086
175,Christopher Oliver,Marketing,Assistant Manager,,44,2015-01-24,59274
176,Melissa Walker,HR,Senior Associate,69,,2018-01-29,89607
177,Mary Kennedy,Sales,Senior Associate,54,,2020-07-02,94689
178,Chad Charles,Warehouse,Manager,,7,2018-05-18,44678
179,Christopher Yu,Finance,Associate,,43,2018-07-11,29024
180,Aaron Rivas,HR,Manager,16,,2016-05-25,79640
181,Alexandra Coleman,Operations,Manager,67,,2019-08-29,81432
182,Kevin Zavala,Operations,Associate,34,,2023-04-23,118222
183,Christopher Rodriguez,HR,Manager,25,,2021-06-20,98042
184,Karen Hill,Warehouse,Associate,,22,2025-03-02,78628
185,Brooke Stein,HR,Assistant Manager,,22,2022-09-12,82448
186,Bridget Smith,Warehouse,Associate,,9,2023-09-09,87391
187,Michelle Potter,Warehouse,Associate,89,,2019-10-01,69559
188,Richard Ramirez,HR,Senior Associate,,18,2021-09-27,90336
189,Jeremy Lin,Sales,Assistant Manager,,24,2021-05-12,45980
190,Jacob Rasmussen,Warehouse,Assistant Manager,,40,2023-12-12,104395
191,Cheryl Ashley,Warehouse,Manager,19,,2020-07-06,107274
192,Chad Martinez,Finance,Associate,76,,2019-06-13,68018
193,Wendy Atkinson,Finance,Senior Associate,96,,2015-10-09,70013
194,Joyce Kelley,Warehouse,Assistant Manager,100,,2024-06-15,73770
195,Joshua Keith,Operations,Associate,58,,2019-10-16,103198
196,Jason Morrison,Operations,Assistant Manager,76,,2023-10-14,44189
197,John Clark,Operations,Senior Associate,,22,2022-06-17,59420
198,Jessica Payne,Operations,Associate,86,,2015-01-07,84550
199,Kathryn Gonzalez,Finance,Assistant Manager,,4,2022-03-02,91793
200,Noah Burton,Sales,Associate,84,,2020-05-13,55209
201,David Adkins,Sales,Senior Associate,,43,2017-08-21,38780
202,Randy Bell,HR,Associate,74,,2017-11-29,74701
203,Antonio Soto,Operations,Manager,42,,2022-01-07,86747
204,Nicole Garcia,Finance,Associate,,30,2015-12-13,98523
205,Michelle Boyd,Finance,Associate,,3,2021-09-02,28273
206,Cassandra Adkins,Finance,Manager,94,,2024-04-23,29616
207,Dana Schultz,Warehouse,Director,59,,2015-12-15,63558
208,Lindsay Holmes,Warehouse,Associate,,8,2015-02-01,79880
209,Tanya Garcia,Warehouse,Manager,,21,2015-09-01,28328
210,Susan Atkinson,Operations,Director,64,,2023-01-12,43956
211,Michelle Parker,HR,Senior Associate,57,,2024-04-29,66539
212,Adam Walker,Marketing,Manager,52,,2025-11-14,53703
213,Laura Alvarez,Operations,Director,,38,2015-04-26,93370
214,Linda Sanchez,Sales,Assistant Manager,86,,2020-04-20,31193
215,Sara Cherry,HR,Senior Associate,15,,2015-07-13,109727
216,Cheryl Stevens,Warehouse,Assistant Manager,,31,2019-01-31,43590
217,Nicole Carpenter,Finance,Assistant Manager,73,,2018-05-22,68538
218,Robert Smith,Marketing,Manager,82,,2021-08-31,118769
219,Brooke Flynn,Marketing,Manager,78,,2024-12-31,88964
220,Martha Sanchez,Warehouse,Director,80,,2023-11-08,119864
221,Christopher Jordan,Marketing,Director,86,,2015-09-13,29809
222,Michelle Nolan,Sales,Director,97,,2017-08-23,94226
223,Charles Jones,Warehouse,Assistant Manager,,13,2018-01-09,34964
224,Wendy Parker,Operations,Senior Associate,,13,2017-10-04,84290
225,Alyssa Lee,Marketing,Associate,57,,2018-11-20,57987
226,Kevin Webster,HR,Associate,71,,2021-09-05,99484
227,Robert Cherry,Warehouse,Director,11,,2023-02-19,39440
228,Brandon Clark,Sales,Senior Associate,,21,2025-05-04,110482
229,Jesse Anderson,Finance,Associate,55,,2022-09-25,72229
230,Brenda Oconnell,HR,Senior Associate,,16,2018-04-14,75776
231,Rodney Flores,Marketing,Associate,22,,2017-01-09,80542
232,Jade Nelson,Warehouse,Manager,,46,2019-02-22,31246
233,Janet Smith,Sales,Manager,45,,2023-10-19,56557
234,Todd Martinez,Warehouse,Senior Associate,,18,2025-12-05,93264
235,Susan Dixon,HR,Assistant Manager,67,,2019-04-26,116396
236,Destiny Adkins,Operations,Manager,,12,2016-12-09,118583
237,Breanna Bryant,Sales,Director,91,,2015-01-20,77284
238,Craig Shields,Finance,Assistant Manager,,46,2015-11-06,51740
239,Amber Molina,HR,Associate,,20,2022-01-02,71936
240,Rebecca Salinas,Warehouse,Senior Associate,,38,2021-06-27,70638
241,Elizabeth Johnson,HR,Assistant Manager,23,,2022-01-28,64546
242,Corey Hernandez,Finance,Manager,26,,2015-04-08,61237
243,Rodney Nelson,Sales,Assistant Manager,48,,2019-10-22,107886
244,Tanya Cannon,Warehouse,Senior Associate,73,,2016-12-25,63923
245,Adam Ray,Operations,Associate,96,,2018-09-14,30691
246,Dennis Lawson,Sales,Assistant Manager,,7,2021-11-05,94368
247,Mitchell Atkinson,Sales,Assistant Manager,,15,2018-01-12,89186
248,Rita Marshall,Warehouse,Assistant Manager,45,,2022-04-03,62813
249,Sherri Martinez,HR,Manager,,30,2018-03-07,85959
250,Wendy Cannon,HR,Associate,,11,2020-08-12,114579
251,Robert Pope,Finance,Assistant Manager,,1,2020-01-19,113046
252,John Schultz,Warehouse,Assistant Manager,19,,2019-03-22,100648
253,Sarah Gilbert,HR,Assistant Manager,3,,2016-05-21,81667
254,Pamela Moore,Finance,Associate,,39,2021-05-04,30543
255,Laura Smith,HR,Assistant Manager,81,,2025-11-22,75123
256,Alan Davenport,Marketing,Assistant Manager,52,,2022-01-29,103306
257,Shawn Bishop,Operations,Director,,28,2023-03-16,105730
258,Todd Pham,Finance,Manager,,4,2023-11-03,99102
259,Samuel Robertson,Finance,Assistant Manager,,12,2015-06-03,118758
260,Linda Shields,HR,Manager,,2,2023-09-21,75517
261,Danielle Cardenas,Sales,Assistant Manager,21,,2017-09-01,38092
262,Deborah Molina,HR,Assistant Manager,26,,2022-04-25,73707
263,Jennifer Cook,Marketing,Assistant Manager,87,,2025-10-28,57321
264,Meghan Boyd,HR,Director,88,,2024-11-02,104868
265,Alyssa Caldwell,Sales,Associate,77,,2019-07-24,99496
266,Adam Wright,Operations,Assistant Manager,,44,2024-03-21,67080
267,Debra Rodriguez,HR,Assistant Manager,58,,2021-10-21,63718
268,Adam Murray,Finance,Manager,,6,2016-06-19,42670
269,Joseph White,Warehouse,Manager,86,,2017-08-21,31971
270,William Anderson,Marketing,Assistant Manager,9,,2025-07-10,56786
271,Melissa Coleman,Finance,Manager,75,,2025-01-25,50173
272,Rita Evans,Operations,Manager,52,,2024-10-23,52398
273,William Flynn,Operations,Director,,2,2019-03-24,119859
274,Melissa Robinson,Marketing,Assistant Manager,46,,2018-07-13,90657
275,Michelle Cannon,HR,Senior Associate,16,,2023-11-13,78727
276,Breanna Gross,Marketing,Director,,25,2015-03-23,44456
277,Frank Vance,Marketing,Senior Associate,64,,2024-11-15,105385
278,Matthew Coleman,Warehouse,Associate,47,,2021-08-23,87319
279,Allison Garcia,Sales,Director,38,,2021-12-17,75362
280,Tracey Johnson,Marketing,Senior Associate,35,,2019-10-28,70868
281,Antonio Schultz,HR,Senior Associate,,24,2025-10-09,78836
282,Jeremy Wilson,Sales,Senior Associate,27,,2023-03-31,105248
283,Brian Fisher,HR,Manager,29,,2015-08-05,94251
284,Jessica Short,Sales,Associate,28,,2020-10-08,72619
285,Marie Phillips,Operations,Associate,2,,2024-06-15,89421
286,Sherri Snyder,Warehouse,Senior Associate,93,,2015-11-04,113541
287,Erica Poole,Warehouse,Senior Associate,,46,2023-02-08,58014
288,Amy Lambert,HR,Associate,17,,2017-09-10,110843
289,Todd Rosales,Marketing,Director,,17,2020-07-28,83824
290,Susan Garcia,Warehouse,Manager,99,,2024-09-15,45046
291,Diana Charles,Finance,Associate,48,,2020-06-01,116959
292,Sheila Dominguez,Marketing,Associate,33,,2015-06-01,91127
293,Amanda Gates,Finance,Director,,25,2015-03-25,63506
294,Julie Gross,Operations,Senior Associate,,47,2023-02-07,47745
295,Erin Bishop,Finance,Associate,32,,2025-03-29,112252
296,Cassandra Elliott,Operations,Assistant Manager,25,,2018-03-19,103743
297,John Martin,Warehouse,Director,,9,2025-04-16,32095
298,Thomas Mitchell,HR,Senior Associate,6,,2019-12-24,86486
299,Jason Oconnell,Operations,Assistant Manager,43,,2015-08-24,38544
300,Alyssa Graham,Sales,Manager,80,,2020-11-03,55058
301,Joseph Nolan,Marketing,Associate,,27,2025-09-17,80257
302,Ryan Jones,Finance,Assistant Manager,,33,2017-10-01,50919
303,Leslie Robertson,Sales,Director,23,,2025-07-26,75149
304,Richard Larson,Warehouse,Director,,29,2022-03-04,67521
305,Sandra Salazar,Operations,Associate,23,,2019-05-11,81497
306,Danielle Byrd,Marketing,Manager,67,,2022-08-18,101666
307,Kevin Cortez,Marketing,Assistant Manager,30,,2019-05-30,42276
308,Julie Alvarez,Finance,Associate,64,,2015-12-08,101246
309,James Clark,Warehouse,Director,66,,2024-07-30,48457
310,Robert Flynn,Sales,Associate,94,,2019-02-11,31070
311,Joshua Cook,Operations,Senior Associate,38,,2021-03-23,69070
312,Mike Fisher,Sales,Director,,20,2023-03-10,55810
313,Charles Yu,Finance,Manager,41,,2015-11-30,44976
314,Nancy Solis,Sales,Assistant Manager,69,,2022-12-09,66902
315,Joyce Sheppard,Finance,Manager,,1,2019-01-07,107934
316,Jerry Salinas,Marketing,Assistant Manager,,23,2020-12-28,81873
317,Wendy Russell,Operations,Associate,,48,2020-01-11,94960
318,Antonio Wright,Finance,Assistant Manager,,1,2023-07-22,41756
319,Stephanie Sims,Marketing,Associate,,40,2017-01-23,34976
320,William Johnson,Warehouse,Associate,50,,2016-03-08,58846
321,Brian Jones,Warehouse,Manager,50,,2019-07-10,99246
322,Spencer Atkinson,Operations,Manager,,22,2016-04-19,109474
323,Tanya Russell,Warehouse,Associate,62,,2017-09-02,37360
324,Michele Fernandez,Marketing,Assistant Manager,8,,2022-03-26,71842
325,Shawn Chandler,HR,Senior Associate,81,,2024-01-03,64478
326,Jennifer Miller,Operations,Director,76,,2022-08-17,96461
327,Natasha Merritt,HR,Associate,11,,2018-06-30,46906
328,Christopher King,Finance,Senior Associate,97,,2023-12-17,72599
329,Rita Ortiz,Sales,Senior Associate,,28,2019-06-20,106182
330,Charles Gonzalez,Finance,Manager,,16,2016-12-28,70778
331,Joseph Hancock,Operations,Manager,50,,2023-04-27,99877
332,Charles Johnson,Operations,Associate,,50,2020-09-07,85217
333,Deborah Fisher,Warehouse,Manager,28,,2019-01-29,82960
334,David Ashley,HR,Director,,46,2022-04-09,51861
335,Barbara Fisher,Marketing,Associate,,11,2022-12-22,119308
336,Sarah Moore,Operations,Senior Associate,23,,2017-06-17,50981
337,Jeffrey Clark,Operations,Manager,,20,2016-04-16,113651
338,Leonard Powell,Warehouse,Assistant Manager,,49,2020-09-08,119020
339,Colin Doyle,Marketing,Associate,,48,2015-07-27,75047
340,Beth Manning,Marketing,Senior Associate,,44,2022-01-09,107947
341,Sarah Pham,Warehouse,Senior Associate,20,,2019-11-03,93788
342,Eric Williams,Finance,Assistant Manager,97,,2017-05-11,95873
343,Kellie Graham,Marketing,Associate,,36,2021-08-02,34302
344,James Decker,Marketing,Assistant Manager,,38,2019-02-18,40617
345,David Walton,Finance,Manager,,18,2019-04-10,34404
346,Sarah Gonzalez,HR,Senior Associate,35,,2017-05-19,30780
347,Nicole Harmon,Marketing,Director,63,,2022-06-09,104909
348,Katie Barton,Operations,Director,70,,2024-12-07,44137
349,Melissa Flynn,Warehouse,Director,,23,2021-10-21,28582
350,Jennifer Chambers,Finance,Director,23,,2017-08-09,114271
351,Nicholas Jackson,Sales,Senior Associate,,41,2024-03-02,53645
352,Brian Pena,HR,Director,,1,2016-04-30,103098
353,Jennifer Cochran,Marketing,Associate,1,,2018-03-10,116368
354,Barbara Walton,Operations,Senior Associate,3,,2015-05-22,76122
355,Jason Mcdonald,Finance,Manager,83,,2024-05-01,113258
356,Nicholas Fisher,Warehouse,Assistant Manager,,48,2015-06-30,117127
357,Alan Johnson,Marketing,Manager,,26,2021-01-03,41274
358,Jacob Morrison,HR,Manager,57,,2017-02-08,41485
359,Lindsay Hamilton,Sales,Senior Associate,12,,2017-05-02,62034
360,John Hall,Finance,Manager,66,,2021-09-09,79441
361,Yvette Wells,Sales,Manager,55,,2023-11-04,100315
362,Jeffrey Caldwell,Operations,Manager,,10,2015-03-12,44856
363,Emily Lewis,Marketing,Manager,,23,2016-09-29,45793
364,Elizabeth Baker,Marketing,Assistant Manager,78,,2018-02-26,56191
365,Jeffrey Brennan,Sales,Senior Associate,,34,2025-05-19,52968
366,Brent Hall,Warehouse,Associate,42,,2015-08-22,114492
367,Ashley Sanchez,Sales,Senior Associate,,28,2016-12-18,64431
368,Chelsea Ramirez,Operations,Manager,28,,2019-06-10,107881
369,Vanessa Ball,Marketing,Associate,,29,2018-08-01,33141
370,Aaron Lee,Operations,Associate,,22,2015-07-15,37365
371,Christine Mitchell,HR,Director,28,,2020-12-10,101932
372,Emily Anderson,Finance,Senior Associate,,11,2021-09-07,50958
373,Jason Bentley,Marketing,Assistant Manager,,22,2016-12-12,35601
374,Eric Wagner,Warehouse,Associate,32,,2022-07-29,82694
375,Tanya Barton,Finance,Director,51,,2015-08-16,41550
376,David Walker,Warehouse,Senior Associate,,24,2023-01-17,33644
377,Richard Parker,Sales,Senior Associate,28,,2017-11-07,65362
378,Samuel Short,Operations,Assistant Manager,3,,2017-06-20,78607
379,Jennifer Parker,Finance,Senior Associate,6,,2017-02-28,76517
380,Eric Caldwell,Finance,Manager,,37,2024-07-21,81773
381,Eric Smith,HR,Assistant Manager,46,,2020-07-10,30173
382,Kristen Boyd,Finance,Associate,67,,2022-08-05,54768
383,Jacob Cook,Finance,Associate,,37,2017-03-30,59598
384,Kevin Sanchez,Warehouse,Assistant Manager,63,,2015-08-16,54967
385,Nancy Johnson,Operations,Senior Associate,,23,2015-06-03,79432
386,Lisa Smith,Marketing,Director,94,,2019-11-07,49075
387,Jennifer Martinez,Marketing,Director,,21,2018-08-04,86143
388,Wesley Jackson,Sales,Director,,29,2023-06-12,114082
389,James Smith,Finance,Director,94,,2023-09-03,88789
390,David Zavala,Sales,Director,,26,2018-06-03,63776
391,Emma Morrison,Marketing,Senior Associate,85,,2019-10-09,67994
392,Matthew Phillips,HR,Director,14,,2019-03-14,81844
393,Sandra Keith,Finance,Senior Associate,88,,2022-06-05,94605
394,Gabriel Lewis,Finance,Manager,,26,2021-12-04,55744
395,Samuel Adams,HR,Associate,23,,2022-03-01,31534
396,Susan Adams,Operations,Director,7,,2015-08-11,92645
397,Jessica Smith,Finance,Manager,72,,2018-09-19,88861
398,Brianna Merritt,HR,Director,44,,2025-08-21,37332
399,Emily Jones,HR,Senior Associate,32,,2018-10-05,85643
400,Brooke Baker,Operations,Senior Associate,40,,2016-12-02,34591
401,Diana Caldwell,Sales,Manager,100,,2017-03-13,87164
402,Daniel Walker,HR,Director,43,,2015-04-18,96474
403,Mario Stein,Warehouse,Manager,,37,2023-08-04,29427
404,Veronica Baker,HR,Assistant Manager,28,,2015-01-22,94853
405,Alexander Velasquez,Warehouse,Senior Associate,,50,2021-07-23,39081
406,Danielle Velasquez,Marketing,Assistant Manager,69,,2019-05-25,52380
407,Bryan Nolan,Finance,Assistant Manager,81,,2016-01-16,92845
408,Alyssa Rosales,Warehouse,Director,85,,2024-09-22,60664
409,Debra Cardenas,Finance,Associate,64,,2023-03-01,117887
410,Nicholas Martin,HR,Senior Associate,77,,2024-01-07,116067
411,Daniel Peterson,HR,Associate,,23,2025-04-21,118795
412,Stephen Adams,HR,Manager,63,,2025-01-12,37598
413,Monique Jordan,Marketing,Assistant Manager,11,,2022-09-16,44218
414,Angela Ball,Operations,Assistant Manager,54,,2020-11-14,44849
415,Nicholas Bryant,Warehouse,Assistant Manager,56,,2022-09-01,81852
416,Joseph Nolan,Operations,Assistant Manager,4,,2019-12-09,67563
417,Chad Martinez,HR,Director,55,,2016-12-29,96618
418,Stephanie Perry,Marketing,Director,73,,2019-03-31,53953
419,James Potter,HR,Manager,37,,2020-02-20,46377
420,Joshua Benson,Operations,Director,,21,2015-07-06,87708
421,Joseph Cooke,Marketing,Associate,,42,2024-04-28,84788
